created_at,entry_id,field5
2018-11-03 12:09:14 UTC,106,3.561
2018-11-03 12:09:41 UTC,107,3.561
2018-11-03 12:10:08 UTC,108,3.563
2018-11-03 12:10:36 UTC,109,3.563
2018-11-03 12:11:03 UTC,110,3.563
2018-11-03 12:11:30 UTC,111,3.563
2018-11-03 12:11:58 UTC,112,3.576
2018-11-03 12:12:59 UTC,113,3.576
2018-11-03 12:13:27 UTC,114,3.576
2018-11-03 12:13:57 UTC,115,3.602
2018-11-03 12:14:51 UTC,116,3.602
2018-11-03 12:15:25 UTC,117,3.606
2018-11-03 12:15:55 UTC,118,3.606
2018-11-03 12:16:22 UTC,119,3.606
2018-11-03 12:16:38 UTC,120,3.606
2018-11-03 12:16:56 UTC,121,3.606
2018-11-03 12:17:31 UTC,122,3.596
2018-11-03 12:18:21 UTC,123,3.593
2018-11-03 13:52:00 UTC,124,3.540
2018-11-03 13:52:32 UTC,125,3.540
2018-11-03 13:53:24 UTC,126,3.540
2018-11-03 13:53:57 UTC,127,3.540
2018-11-03 13:54:27 UTC,128,3.545
2018-11-03 13:54:55 UTC,129,3.545
2018-11-03 13:55:22 UTC,130,3.594
2018-11-03 13:55:50 UTC,131,3.594
2018-11-03 13:56:36 UTC,132,3.568
2018-11-03 13:57:14 UTC,133,3.602
2018-11-03 13:57:41 UTC,134,3.602
2018-11-03 13:58:09 UTC,135,3.602
2018-11-03 13:58:37 UTC,136,3.602
2018-11-03 13:59:04 UTC,137,3.602
2018-11-03 13:59:31 UTC,138,3.602
2018-11-03 13:59:58 UTC,139,3.602
2018-11-03 14:00:26 UTC,140,3.602
2018-11-03 14:00:58 UTC,141,3.611
2018-11-03 14:01:25 UTC,142,3.611
2018-11-03 14:02:01 UTC,143,3.608
2018-11-03 14:02:52 UTC,144,3.597
2018-11-03 14:03:22 UTC,145,3.597
2018-11-03 14:03:51 UTC,146,3.600
2018-11-03 14:04:18 UTC,147,3.600
2018-11-03 14:04:46 UTC,148,3.600
2018-11-03 14:05:14 UTC,149,3.600
2018-11-03 15:28:37 UTC,150,3.590
2018-11-03 15:29:04 UTC,151,3.597
2018-11-03 15:29:32 UTC,152,3.597
2018-11-03 15:30:02 UTC,153,3.597
2018-11-03 15:30:28 UTC,154,3.597
2018-11-03 15:30:56 UTC,155,3.597
2018-11-03 15:31:23 UTC,156,3.597
2018-11-03 15:32:21 UTC,157,3.597
2018-11-03 15:32:54 UTC,158,3.588
2018-11-03 15:33:19 UTC,159,3.588
2018-11-03 15:33:54 UTC,160,3.588
2018-11-03 15:34:51 UTC,161,3.592
2018-11-03 17:54:49 UTC,162,3.584
2018-11-03 17:55:11 UTC,163,3.576
2018-11-03 17:55:43 UTC,164,3.576
2018-11-03 17:56:16 UTC,165,3.582
2018-11-03 17:56:44 UTC,166,3.582
2018-11-03 17:57:11 UTC,167,3.582
2018-11-03 17:57:37 UTC,168,3.582
2018-11-03 17:58:04 UTC,169,3.582
2018-11-03 17:58:32 UTC,170,3.582
2018-11-03 17:59:00 UTC,171,3.585
2018-11-03 17:59:28 UTC,172,3.585
2018-11-03 17:59:55 UTC,173,3.585
2018-11-03 18:00:23 UTC,174,3.585
2018-11-03 18:00:52 UTC,175,3.585
2018-11-03 18:01:58 UTC,176,3.591
2018-11-03 18:02:50 UTC,177,3.597
2018-11-03 18:03:18 UTC,178,3.597
2018-11-03 18:03:45 UTC,179,3.597
2018-11-03 18:04:13 UTC,180,3.597
2018-11-03 18:04:40 UTC,181,3.589
2018-11-04 06:39:39 UTC,182,3.576
2018-11-04 06:40:41 UTC,183,3.574
2018-11-04 06:41:07 UTC,184,3.574
2018-11-04 06:41:35 UTC,185,3.574
2018-11-04 06:42:02 UTC,186,3.574
2018-11-04 06:42:29 UTC,187,3.568
2018-11-04 06:43:06 UTC,188,3.568
2018-11-04 06:43:36 UTC,189,3.575
2018-11-04 06:44:05 UTC,190,3.575
2018-11-04 06:45:06 UTC,191,3.575
2018-11-04 06:45:34 UTC,192,3.575
2018-11-04 06:46:04 UTC,193,3.575
2018-11-04 06:46:31 UTC,194,3.586
2018-11-04 06:46:58 UTC,195,3.586
2018-11-04 06:47:27 UTC,196,3.586
2018-11-04 06:47:55 UTC,197,3.586
2018-11-04 06:48:23 UTC,198,3.586
2018-11-04 06:49:16 UTC,199,3.578
2018-11-04 06:49:44 UTC,200,3.580
2018-11-04 06:50:13 UTC,201,3.580
2018-11-04 06:50:44 UTC,202,3.577
2018-11-04 06:51:12 UTC,203,3.577
2018-11-04 06:51:39 UTC,204,3.578
2018-11-04 06:52:12 UTC,205,3.578
